model,cv_roc_auc_mean,cv_pr_auc_mean,cv_recall_mean,cv_balanced_accuracy_mean,validation_roc_auc,validation_pr_auc,validation_recall_at_0_50,validation_precision_at_0_50,selection_score,baseline_pr_auc,selected_model
Logistic Regression,0.8211886430427706,0.6278560038765889,0.7,0.7460211249551352,0.802480833835817,0.6285531563203623,0.7446808510638298,0.4268292682926829,0.7039833849836669,0.16156462585034015,True
Random Forest,0.8137511907749684,0.5728608310392487,0.41052631578947374,0.6829409510547635,0.8091997588078215,0.5981243216199209,0.44680851063829785,0.6363636363636364,0.587378875213933,0.16156462585034015,False
Gradient Boosting,0.8195505684685488,0.6241339773858463,0.3157894736842105,0.6528185947101256,0.8063571367042812,0.5820687271273776,0.2765957446808511,0.8125,0.5200108651864741,0.16156462585034015,False
Decision Tree,0.6943002021281476,0.3760190967934903,0.5684210526315789,0.6660235807176763,0.694331983805668,0.35830484548378766,0.6170212765957447,0.34523809523809523,0.5160610240373487,0.16156462585034015,False
